City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
Grand Gaube,-20.0064,57.6608,77.0,82,100,8.99,MU,1619468788
Souillac,-20.5167,57.5167,78.8,78,75,16.11,MU,1619468736
Mishan,45.55,131.8833,39.94,85,99,4.47,CN,1619469313
Nur-Sultan,51.1801,71.446,51.8,82,40,6.71,KZ,1619469314
Lodja,-3.4833,23.4333,73.96,82,53,1.61,CD,1619469315
São Borja,-28.6606,-56.0044,63.1,68,70,1.41,BR,1619469315
São Filipe,14.8961,-24.4956,72.77,76,4,12.15,CV,1619468738
Bay Saint Louis,30.3088,-89.33,77.0,50,1,9.22,US,1619469316
Pangody,65.85,74.4859,33.39,92,100,15.66,RU,1619469317
Warwick,41.7001,-71.4162,57.99,24,1,16.11,US,1619469041
Ilhabela,-23.7781,-45.3581,72.73,83,83,3.13,BR,1619469318
Puerto Escondido,15.85,-97.0667,87.8,70,40,4.61,MX,1619469318
Albacete,38.8333,-2.0,57.2,77,20,5.75,ES,1619469319
Sampang,-7.1872,113.2394,80.6,83,20,6.91,ID,1619469320
Shakiso,5.75,38.9167,60.13,99,100,1.25,ET,1619469320
Nioro,13.35,-15.75,85.6,33,9,12.33,GM,1619468740
Atambua,-9.1061,124.8925,67.71,63,84,4.54,ID,1619469322
Odienné,9.51,-7.5692,79.32,63,54,2.62,CI,1619469322
Spokane,47.6166,-117.3677,57.99,44,75,5.84,US,1619469222
Waipawa,-41.4122,175.5153,53.6,71,90,17.27,NZ,1619469324
Diffa,13.3154,12.6113,89.78,9,2,7.36,NE,1619469143
Qui Nhon,13.7667,109.2333,78.51,88,87,5.3,VN,1619469325
Raja,8.4596,25.678,78.55,60,41,3.83,SS,1619469325
Van Buren,35.4368,-94.3483,84.2,34,1,10.36,US,1619469326
Launceston,-41.45,147.1667,39.99,93,19,4.61,AU,1619469327
Cayenne,4.9333,-52.3333,78.01,94,90,2.3,GF,1619469327
George,-33.963,22.4617,60.8,94,90,2.3,ZA,1619469059
Tres Arroyos,-38.3739,-60.2798,60.55,63,0,5.48,AR,1619469328
Biak,-0.9131,122.8766,75.67,85,98,5.59,ID,1619468752
Loudon,35.7328,-84.3338,78.01,44,9,1.01,US,1619469329
Awjilah,29.1081,21.2869,70.36,30,7,6.26,LY,1619469330
Chatrā,24.2167,84.8667,75.31,11,2,6.13,IN,1619469331
Dwārka,22.2394,68.9678,80.74,77,0,10.22,IN,1619469331
Mashivka,49.4431,34.8669,34.38,90,8,5.82,UA,1619469332
Knysna,-34.0363,23.0471,60.8,94,90,2.3,ZA,1619469199
Castaños,26.7833,-101.4167,93.2,20,75,8.05,MX,1619469333
Bundaberg,-24.85,152.35,64.0,88,0,6.91,AU,1619469334
Anaconda,46.1285,-112.9423,46.4,34,40,6.04,US,1619469334
Kalininskaya,45.4822,38.6628,45.0,93,3,1.99,RU,1619469335
Kongolo,-5.3833,27.0,72.28,92,100,1.9,CD,1619469336
Kloulklubed,7.0419,134.2556,77.0,88,75,7.52,PW,1619469336
Petropavlovsk-Kamchatskiy,53.0452,158.6483,32.0,100,90,2.24,RU,1619469303
Garachiné,8.0647,-78.3628,82.49,75,96,4.07,PA,1619469337
Hamilton,39.1834,-84.5333,73.99,35,1,8.05,US,1619469197
Kiryat Gat,31.61,34.7642,64.99,100,49,6.08,IL,1619469255
Largo,27.9095,-82.7873,88.0,57,0,9.22,US,1619469313
San Quintín,30.4833,-115.95,61.05,67,100,16.22,MX,1619469339
Copiapó,-27.3667,-70.3333,66.2,59,20,13.8,CL,1619469340
Chirongui,-12.9319,45.1483,80.6,83,0,5.75,YT,1619469340
Miepherkeim,38.1419,41.0081,75.2,31,0,10.36,TR,1619469341
Biloela,-24.4167,150.5,60.58,83,0,5.39,AU,1619469342
Ikot Ekpene,5.1794,7.7108,76.71,90,26,5.95,NG,1619469342
Aksarka,66.5606,67.7975,33.98,99,100,8.05,RU,1619469343
Porirua,-41.1333,174.85,54.0,77,98,3.0,NZ,1619469344
Parkersburg,39.2667,-81.5615,70.0,23,1,4.61,US,1619469289
Batticaloa,7.7102,81.6924,79.23,82,29,9.04,LK,1619469345
Baghdad,33.3406,44.4009,93.2,17,40,10.36,IQ,1619469345
Yima,34.7381,111.8839,54.82,76,100,7.16,CN,1619469346
‘Ewa Beach,21.3156,-158.0072,78.8,61,75,4.61,US,1619469346
Plettenberg Bay,-34.0527,23.3716,59.9,94,54,5.48,ZA,1619469347
Puerto del Rosario,28.5004,-13.8627,69.8,60,20,10.36,ES,1619469348
Seymchan,62.8833,152.4333,6.4,86,18,3.62,RU,1619469318
Kyabram,-36.3167,145.05,46.99,90,0,6.78,AU,1619469349
Bandarbeyla,9.4942,50.8122,83.05,72,80,6.13,SO,1619469078
Grindavik,63.8424,-22.4338,46.4,71,0,2.3,IS,1619469350
Bereda,43.2686,-7.5406,53.01,100,59,5.01,ES,1619469333
Ixtapa,20.7,-105.2,82.4,69,75,13.8,MX,1619469351
Verkhnyaya Toyma,62.2349,44.9985,37.96,94,100,3.11,RU,1619469352
Palmas Bellas,9.2319,-80.0867,88.0,66,80,8.01,PA,1619469352
Aswān,24.0934,32.907,80.6,19,0,17.09,EG,1619469077
Leningradskiy,69.3833,178.4167,27.21,91,48,5.32,RU,1619469353
Kâhta,37.7855,38.6237,59.0,51,0,9.22,TR,1619469354
Wajima,37.4,136.9,45.81,66,69,8.14,JP,1619469355
Tamsweg,47.1281,13.811,36.0,95,100,3.0,AT,1619469355
Nola,40.922,14.5329,62.6,59,0,3.44,IT,1619469356
Wanning,18.8003,110.3967,77.65,88,100,4.27,CN,1619469356
Casper,42.8666,-106.3131,68.0,12,20,28.77,US,1619469238
Havøysund,70.9963,24.6622,32.0,93,75,12.66,NO,1619469176
Mudkhed,19.1667,77.5167,88.43,28,100,12.64,IN,1619469358
Cabedelo,-6.9811,-34.8339,80.6,94,0,9.22,BR,1619469358
Berlevåg,70.8578,29.0864,32.0,86,90,9.22,NO,1619469359
Malbork,54.0359,19.0266,35.01,71,95,5.06,PL,1619469359
Touros,-5.1989,-35.4608,82.4,74,20,11.5,BR,1619469361
Yenagoa,4.9247,6.2642,79.43,87,14,4.25,NG,1619469362
Bac Lieu,9.285,105.7244,81.1,79,86,5.97,VN,1619469363
Mahabalipuram,12.6264,80.1722,82.4,78,40,4.61,IN,1619469363
Kardailovo,51.5386,53.9042,43.99,67,100,9.31,RU,1619469364
Serebriya,48.4559,27.7192,33.01,89,85,1.01,UA,1619469365
Alice Springs,-23.7,133.8833,44.6,61,0,3.44,AU,1619469085
Katsuura,35.1333,140.3,51.8,66,75,1.14,JP,1619469366
San Roque,36.2107,-5.3842,62.6,88,20,3.44,ES,1619469366
Kandalaksha,67.162,32.4123,21.92,94,52,2.73,RU,1619469367
Emerald,-23.5333,148.1667,59.0,47,5,8.05,AU,1619469368
Ranong,9.9658,98.6348,79.56,84,93,3.51,TH,1619469369
Puerto Suárez,-18.95,-57.8,78.8,78,75,3.02,BO,1619469369
Klaksvík,62.2266,-6.589,41.0,87,75,19.57,FO,1619469370
Elk Plain,47.0532,-122.3976,59.0,66,90,5.57,US,1619469370
Middletown,39.5151,-84.3983,73.4,28,1,12.66,US,1619469371
Marsá Maţrūḩ,31.3525,27.2453,62.6,72,0,5.75,EG,1619469372
San Cristobal,7.7669,-72.225,87.8,55,40,11.5,VE,1619469372
Aquin,18.2833,-73.4,81.18,68,20,1.59,HT,1619469373
Japura,-0.3167,102.35,73.15,98,46,1.34,ID,1619469374
Avallon,47.4833,3.9,53.01,50,100,6.98,FR,1619469374
Berbera,10.4396,45.0143,86.9,56,100,5.12,SO,1619469375
Esperance,-33.8667,121.9,66.2,45,100,14.97,AU,1619469375
Katherine,-14.4667,132.2667,75.2,83,100,5.75,AU,1619469105
Nouadhibou,20.931,-17.0347,66.2,82,0,14.97,MR,1619469377
Cotonou,6.3654,2.4183,86.0,74,20,13.8,BJ,1619469377
Pitimbu,-7.4706,-34.8086,80.6,94,0,9.22,BR,1619469348
Martapura,-3.4167,114.85,78.8,89,90,3.44,ID,1619469379
Sioux Lookout,50.1001,-91.917,37.4,75,90,10.36,CA,1619469379
La Ronge,55.1001,-105.2842,51.8,22,100,8.05,CA,1619469380
Araouane,18.9048,-3.5265,92.79,12,40,11.74,ML,1619469249
Tālcher,20.95,85.2167,75.87,75,99,3.62,IN,1619469381
Caluquembe,-13.7833,14.6833,62.46,69,49,4.41,AO,1619469382
Broken Hill,-31.95,141.4333,48.2,66,13,5.73,AU,1619469382
Monrovia,6.3005,-10.7969,80.6,89,20,10.67,LR,1619469383
Bolshoye Nagatkino,54.5196,47.9679,33.8,64,97,3.29,RU,1619469383
‘Āhuimanu,21.4447,-157.8378,78.8,61,75,10.36,US,1619469384
Samarai,-10.6167,150.6667,80.82,80,92,4.52,PG,1619469385
Sobolevo,54.4299,31.8996,31.01,75,12,4.92,RU,1619469385
Calabazar de Sagua,22.6447,-79.8961,89.6,40,40,12.66,CU,1619469386
Coquimbo,-29.9533,-71.3436,60.8,77,40,8.05,CL,1619469196
Russell,32.3502,-85.1999,82.4,36,1,5.75,US,1619469387
Buala,-8.145,159.5921,82.36,79,90,4.74,SB,1619469388
Vanavara,60.34,102.2797,14.36,95,13,2.24,RU,1619469389
Tashtagol,52.7657,87.8894,33.28,94,100,2.95,RU,1619469390
Nikolskoye,59.7035,30.7861,42.8,75,75,6.71,RU,1619469391
Roswell,34.0232,-84.3616,79.0,46,1,6.91,US,1619469376
Ilulissat,69.2167,-51.1,51.8,40,75,16.11,GL,1619469392
Flagstaff,35.1981,-111.6513,57.0,22,1,29.93,US,1619469393
Hell,63.4455,10.9033,37.99,81,75,1.48,NO,1619469393
Saint-Leu,-21.15,55.2833,77.0,73,90,11.5,RE,1619469394
Ambon City,-3.6954,128.1814,80.71,68,30,7.38,ID,1619469395
Fairbanks,64.8378,-147.7164,59.0,37,20,3.65,US,1619469192
Bambous Virieux,-20.3428,57.7575,78.8,78,75,16.11,MU,1619469257
Ilebo,-4.3167,20.5833,72.7,96,84,1.59,CD,1619469397
Dabakala,8.3667,-4.4333,77.05,76,67,7.05,CI,1619469397
Kununurra,-15.7667,128.7333,78.8,65,43,3.44,AU,1619469370
Ladário,-19.0047,-57.6017,78.8,61,75,8.05,BR,1619469398
Batagay,67.6333,134.6333,29.03,96,100,4.09,RU,1619469266
Nelson Bay,-32.7167,152.15,53.01,100,4,6.91,AU,1619469399
Nantucket,41.2835,-70.0995,55.4,35,1,21.85,US,1619469187
Anadyr,64.75,177.4833,23.0,93,0,2.24,RU,1619469400
Okhotsk,59.3833,143.3,21.42,79,90,2.68,RU,1619469401
Nishihara,26.1842,127.7558,68.0,68,40,3.44,JP,1619469403
Yokadouma,3.5167,15.05,76.24,70,67,1.72,CM,1619469404
Sirte,31.2089,16.5887,67.46,59,38,19.1,LY,1619469405
Magrath,49.4167,-112.8686,55.4,35,60,23.02,CA,1619469406
College,64.8569,-147.8028,59.0,35,75,3.69,US,1619469406
Waingapu,-9.6567,120.2641,73.45,70,33,7.63,ID,1619469407
Rawson,-43.3002,-65.1023,69.26,33,23,5.41,AR,1619469407
Bansko,41.8383,23.4885,48.16,93,81,3.38,BG,1619469408
Äänekoski,62.6946,25.818,36.0,86,90,5.75,FI,1619469409
Yulara,-25.2406,130.9889,55.4,47,0,8.05,AU,1619469183
Basoko,1.2391,23.616,73.51,86,43,0.74,CD,1619469409
Kansk,56.2017,95.7175,38.16,96,100,3.02,RU,1619469410
Christchurch,-43.5333,172.6333,46.0,87,90,3.44,NZ,1619469204
Tarko-Sale,64.9225,77.785,30.99,81,57,18.01,RU,1619469411
Aksaray,38.3726,34.0254,50.0,87,75,4.61,TR,1619469412
Oranjemund,-28.55,16.4333,60.44,90,2,6.2,NA,1619469413
Pacific Grove,36.6177,-121.9166,60.8,48,1,11.5,US,1619469216
Kungurtug,50.5994,97.5228,14.22,89,56,2.42,RU,1619469301
Nikolayevsk-on-Amur,53.1406,140.73,33.78,75,54,2.59,RU,1619469414
Kieta,-6.2167,155.6333,80.85,79,83,2.89,PG,1619469415
The Valley,18.217,-63.0578,84.2,65,20,12.66,AI,1619469415
Hwange,-18.3693,26.5019,68.95,57,20,1.39,ZW,1619469416
Cervo,43.6702,-7.4101,54.0,89,98,6.49,ES,1619469417
Bay Roberts,47.5999,-53.2648,46.0,63,100,7.0,CA,1619469417
Ngunguru,-35.6167,174.5,59.29,71,20,7.9,NZ,1619469418
Fort-Shevchenko,44.5086,50.263,56.25,78,98,4.63,KZ,1619469418
Phang Nga,8.4509,98.5298,82.99,94,75,3.44,TH,1619469195
Kumul,42.8,93.45,47.59,17,6,9.78,CN,1619469419
Pedro II,-4.4247,-41.4586,75.81,69,100,2.28,BR,1619469420
Tarata,-17.6167,-66.0167,78.8,22,20,5.75,BO,1619469420
Tambura,5.6,27.4667,71.4,87,99,5.19,SS,1619469421
Yuli,9.6989,10.2744,88.14,36,43,8.66,NG,1619469422
Amahai,-3.3333,128.9167,77.36,77,55,2.86,ID,1619469347
Port Macquarie,-31.4333,152.9167,54.0,98,4,3.0,AU,1619469423
Loikaw,19.6742,97.2094,67.91,89,70,1.1,MM,1619469424
Florø,61.5996,5.0328,39.2,70,20,2.3,NO,1619469424
Shelburne,44.0787,-80.2041,52.0,27,20,4.61,CA,1619469183
Itarema,-2.9248,-39.9167,80.38,77,69,13.02,BR,1619469425
Mariana,-20.3778,-43.4161,68.38,85,46,0.94,BR,1619469426
Ahipara,-35.1667,173.1667,61.83,74,16,8.9,NZ,1619469426
Suleja,9.1758,7.1808,77.0,78,40,4.61,NG,1619469196
Calabozo,8.9242,-67.4293,97.2,29,100,3.56,VE,1619469427
Valdez,1.2492,-78.9831,79.65,81,99,4.38,EC,1619469428
Felanitx,39.4696,3.1483,62.6,72,40,9.22,ES,1619469429
Kapuskasing,49.4169,-82.4331,48.2,29,96,9.22,CA,1619469429
Denpasar,-8.65,115.2167,82.4,78,75,6.91,ID,1619469430
Norfolk,42.1668,-71.2495,57.0,28,6,16.11,US,1619469431
Nuevitas,21.5453,-77.2644,93.2,36,20,14.97,CU,1619469431
Teya,60.3778,92.6267,28.6,97,34,2.51,RU,1619469432
Faya,18.3851,42.4509,59.0,82,0,1.9,SA,1619469286
Tucuruí,-3.7661,-49.6725,79.47,84,84,1.68,BR,1619469433
Santa Maria,-29.6842,-53.8069,69.8,43,0,3.44,BR,1619469267
Ivanteyevka,55.9711,37.9208,43.0,56,0,4.47,RU,1619469434
Támara,14.15,-87.3333,91.0,39,40,13.8,HN,1619469434
Myanaung,18.2833,95.3167,80.19,69,23,1.16,MM,1619469435
Guadalupe y Calvo,26.1,-106.9667,71.22,10,41,11.88,MX,1619469436
Tomatlán,19.9333,-105.25,91.31,31,100,11.03,MX,1619469436
Yar-Sale,66.8333,70.8333,33.62,97,100,13.49,RU,1619469437
Monastyrshchina,54.3496,31.838,31.03,75,14,4.92,RU,1619469438
Spruce Grove,53.5334,-113.9187,59.0,18,75,19.57,CA,1619469439
Luba,3.4568,8.5547,80.6,83,20,6.91,GQ,1619469440
Auki,-8.7676,160.7034,81.0,83,81,0.78,SB,1619469315
Agüimes,27.9054,-15.4461,69.01,73,75,10.36,ES,1619469441
Chapais,49.7834,-74.8492,35.6,69,90,16.11,CA,1619469312
Gravelbourg,49.8834,-106.5512,46.4,57,90,5.75,CA,1619469442
Paita,-5.0892,-81.1144,80.6,61,0,14.97,PE,1619469443
Sitka,57.0531,-135.33,51.8,54,1,3.44,US,1619469245
Rebrikha,53.0733,82.3408,47.43,90,93,8.97,RU,1619469444
São João do Paraíso,-15.3136,-42.0144,76.78,52,89,3.27,BR,1619469445
La Primavera,5.4906,-70.4092,89.64,50,99,3.09,CO,1619469445
Bartica,6.4,-58.6167,84.2,74,75,11.5,GY,1619469446
Miraflores,19.2167,-98.8083,84.2,23,20,4.61,MX,1619469446
Prince Rupert,54.3161,-130.3201,51.8,71,1,6.91,CA,1619469447
Ust'-Ilimsk,58.0006,102.6619,20.05,97,15,2.13,RU,1619469448
Casino,-28.8667,153.05,55.0,100,90,3.44,AU,1619469449
Aykhal,66.0,111.5,7.14,95,100,12.95,RU,1619469450
Bajil,15.0584,43.2851,87.3,56,97,7.83,YE,1619469450
Arkhara,49.4212,130.0842,47.84,36,93,15.86,RU,1619469451
Putina,-15.4667,-69.4333,48.61,48,7,7.11,PE,1619469451
Ol'ga,43.7444,135.2892,39.96,56,17,2.91,RU,1619469452
Cerrito,6.8432,-72.694,77.0,73,75,8.05,CO,1619469453
Xining,36.6167,101.7667,38.21,51,85,2.17,CN,1619469283
Valtierrilla,20.5333,-101.1333,88.0,20,90,1.63,MX,1619469454
Anchorage,61.2181,-149.9003,53.6,35,1,4.61,US,1619469204
Goedereede,51.8175,3.9806,46.99,73,100,15.05,NL,1619469359
Kulhudhuffushi,6.6221,73.07,84.06,71,13,6.46,MV,1619469456
San Juan de los Morros,9.9115,-67.3538,89.82,37,100,2.28,VE,1619469457
Slyudyanka,51.6594,103.7061,34.59,96,100,3.78,RU,1619469458
Nuuk,64.1835,-51.7216,35.6,100,75,6.91,GL,1619469175
Loreto,22.2667,-101.9667,85.57,17,100,11.59,MX,1619469459
Usinsk,65.9939,57.5281,36.36,93,100,4.68,RU,1619469459
Dandong,40.1292,124.3947,50.27,95,100,8.97,CN,1619469460
Goundam,16.4145,-3.6708,92.32,11,6,10.45,ML,1619469461
Rimbey,52.6334,-114.2353,55.4,16,69,16.11,CA,1619469461
Tura,25.5198,90.2201,77.99,31,93,4.68,IN,1619469462
Sarangani,5.4033,125.4636,81.68,72,100,0.56,PH,1619469462
Rockhampton,-23.3833,150.5,64.4,72,0,8.05,AU,1619469463
Eenhana,-17.4667,16.3333,69.8,46,3,3.44,NA,1619469249
Homer,59.6425,-151.5483,53.6,35,1,6.91,US,1619469464
Kita,13.0349,-9.4895,91.22,29,91,1.41,ML,1619469464
Timmins,48.4669,-81.3331,48.2,27,40,8.05,CA,1619469465
Noshiro,40.2039,140.0242,38.55,68,0,4.65,JP,1619469466
Coelho Neto,-4.2567,-43.0128,79.3,75,72,1.39,BR,1619469466
Hithadhoo,-0.6,73.0833,82.49,64,10,5.19,MV,1619469467
Praia,14.9215,-23.5087,71.6,68,20,19.57,CV,1619469199
Romitan,39.9343,64.3814,66.2,37,0,9.22,UZ,1619469468
Siay,7.6961,122.8631,75.92,90,100,3.83,PH,1619469468
Bonavista,48.6499,-53.1147,46.4,57,100,9.22,CA,1619469470
Shitanjing,39.2342,106.3439,39.42,30,47,8.25,CN,1619469471
Labytnangi,66.6572,66.4183,33.26,98,100,6.98,RU,1619469471
Changping,40.2186,116.2197,48.2,87,0,2.24,CN,1619469472
San Vicente,-26.6167,-54.1333,60.24,55,0,3.67,AR,1619469473
Horodkivka,49.9068,28.9847,36.1,76,90,5.17,UA,1619469473
Mercedes,-34.6515,-59.4307,64.0,76,22,3.53,AR,1619469475
La Crosse,43.8014,-91.2396,62.6,48,90,5.75,US,1619469455
Jalu,29.0331,21.5482,70.03,30,6,5.99,LY,1619469476
Namtsy,62.7161,129.6658,33.8,93,20,2.24,RU,1619469477
Evanston,42.0411,-87.6901,77.0,31,75,20.71,US,1619469449
Eilat,29.5581,34.9482,75.2,38,0,17.27,IL,1619469478
Talcahuano,-36.7167,-73.1167,62.6,67,0,14.97,CL,1619469479
Baripāda,21.935,86.7214,84.16,37,100,5.66,IN,1619469479
Ulagan,50.6321,87.9563,29.57,72,98,3.04,RU,1619469480
Pinalejo,15.3833,-88.4,91.4,62,40,9.22,HN,1619469480
Kaa-Khem,51.6833,94.7333,34.79,59,90,4.97,RU,1619469481
Padang,-0.9492,100.3543,77.58,87,86,4.29,ID,1619469482
Monte Patria,-30.6919,-70.9467,74.23,43,0,5.75,CL,1619469482
Ouro Preto do Oeste,-10.7481,-62.2158,76.71,91,100,5.21,BR,1619469483
Ternate,0.8,127.4,80.17,79,19,5.03,ID,1619469244
Srandakan,-7.9386,110.2506,75.11,84,7,4.29,ID,1619469484
Sinjār,36.3209,41.8754,72.21,31,51,7.29,IQ,1619469313
Merauke,-8.4667,140.3333,75.79,92,90,8.05,ID,1619469486
Alyangula,-13.8483,136.4192,77.0,100,75,2.3,AU,1619469487
Caravelas,-17.7125,-39.2481,77.0,77,34,7.72,BR,1619469487
Cairns,-16.9167,145.7667,75.2,83,90,11.5,AU,1619469488
Tianpeng,30.9866,103.9393,64.99,1,100,6.17,CN,1619469488
Sambava,-14.2667,50.1667,75.61,88,66,8.59,MG,1619469489
Thyolo,-16.0678,35.1405,64.96,84,71,2.73,MW,1619469490
Kaka,37.3482,59.6143,74.66,17,40,5.55,TM,1619469490
Gamba,-2.65,10.0,78.64,87,88,4.34,GA,1619469491
Klyuchi,52.2667,79.1667,51.03,69,100,7.74,RU,1619469492
Imst,47.2684,10.6698,51.8,100,90,5.75,AT,1619469492
Banda Aceh,5.5577,95.3222,79.63,80,84,2.93,ID,1619469493
Mogadishu,2.0371,45.3438,83.14,75,80,9.06,SO,1619469494
Bubaque,11.2833,-15.8333,78.4,71,16,19.42,GW,1619469494
Angoche,-16.2325,39.9086,77.14,84,71,3.13,MZ,1619469495
Oddur,4.1213,43.8894,79.79,62,97,4.5,SO,1619469496
Ust-Tsilma,65.441,52.1498,37.38,99,100,2.04,RU,1619469496
Cururupu,-1.8283,-44.8683,77.45,85,97,4.0,BR,1619469497
Turaif,31.6725,38.6637,66.2,37,0,11.5,SA,1619469219
Ponta Delgada,37.7333,-25.6667,60.8,77,75,8.05,PT,1619469498
Omboué,-1.5746,9.2618,79.27,86,100,5.12,GA,1619469499
Ugoofaaru,5.6667,73.0,82.96,74,5,5.12,MV,1619469499
North Platte,41.1239,-100.7654,86.0,19,1,9.22,US,1619469426
Belmonte,-15.8631,-38.8828,80.6,65,40,13.8,BR,1619469222
